_time,pax_id,OPERATION,LOCATION,GATE

"""2018-04-07T04:02:00.000Z""",e85872b8.547fc,Passport Control,Border-Control Booth 1,
"""2018-04-07T04:16:00.000Z""",e85872b8.547fc,LEAVE Duty Free Area,Terminal 1,
"""2018-04-07T05:22:00.000Z""",e85872b8.547fc,LEAVE Dining Area,Terminal 1,
"""2018-04-07T05:34:00.000Z""",e85872b8.547fc,ENTER Bording Gate Area,Terminal 1,B12
"""2018-04-07T04:08:00.000Z""",e85872b8.547fc,ENTER Duty Free Area,Terminal 1,
"""2018-04-07T04:32:00.000Z""",e85872b8.547fc,ENTER Dining Area,Terminal 1,
"""2018-04-07T06:14:00.000Z""",e85872b8.547fc,BOARD Aircraft,Terminal 1,B12
"""2018-11-12T15:52:00.000Z""",bea0323c.4cd3d,Passport Control,Border-Control Booth 1,
"""2018-11-12T17:06:00.000Z""",bea0323c.4cd3d,LEAVE Duty Free Area,Terminal 1,
"""2018-11-12T18:12:00.000Z""",bea0323c.4cd3d,LEAVE Dining Area,Terminal 1,
"""2018-11-12T18:24:00.000Z""",bea0323c.4cd3d,ENTER Bording Gate Area,Terminal 1,A13
"""2018-11-12T16:52:00.000Z""",bea0323c.4cd3d,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-11-12T16:58:00.000Z""",bea0323c.4cd3d,ENTER Duty Free Area,Terminal 1,
"""2018-11-12T17:22:00.000Z""",bea0323c.4cd3d,ENTER Dining Area,Terminal 1,
"""2018-11-12T19:04:00.000Z""",bea0323c.4cd3d,BOARD Aircraft,Terminal 1,A13
"""2018-11-12T16:02:00.000Z""",bea0323c.4cd3d,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-09-26T10:14:00.000Z""",1687247e.a0c2ac,LEAVE Dining Area,Terminal 1,
"""2018-09-26T10:20:00.000Z""",1687247e.a0c2ac,ENTER Bording Gate Area,Terminal 1,A3
"""2018-09-26T09:49:00.000Z""",1687247e.a0c2ac,ENTER Dining Area,Terminal 1,
"""2018-09-26T10:40:00.000Z""",1687247e.a0c2ac,BOARD Aircraft,Terminal 1,A3
"""2018-02-19T07:56:00.000Z""",7ed7b94a.d47108,Passport Control,Border-Control Booth 1,
"""2018-02-19T08:14:00.000Z""",7ed7b94a.d47108,ENTER Bording Gate Area,Terminal 1,B14
"""2018-02-19T09:14:00.000Z""",7ed7b94a.d47108,BOARD Aircraft,Terminal 1,B14
"""2018-02-06T12:48:00.000Z""",1c412d6.09076d3,LEAVE Dining Area,Terminal 1,
"""2018-02-06T12:23:00.000Z""",1c412d6.09076d3,ENTER Dining Area,Terminal 1,
"""2018-02-06T12:54:00.000Z""",1c412d6.09076d3,ENTER Bording Gate Area,Terminal 1,B15
"""2018-02-06T13:14:00.000Z""",1c412d6.09076d3,BOARD Aircraft,Terminal 1,B15
"""2018-04-17T11:06:00.000Z""",76512f5.069edd,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-04-17T11:13:00.000Z""",76512f5.069edd,LEAVE Duty Free Area,Terminal 1,
"""2018-04-17T11:19:00.000Z""",76512f5.069edd,ENTER Bording Gate Area,Terminal 1,B10
"""2018-04-17T10:41:00.000Z""",76512f5.069edd,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-04-17T11:09:00.000Z""",76512f5.069edd,ENTER Duty Free Area,Terminal 1,
"""2018-04-17T11:39:00.000Z""",76512f5.069edd,BOARD Aircraft,Terminal 1,B10
"""2018-04-29T09:35:00.000Z""",ded39e2a.cba8d,Passport Control,Border-Control Booth 1,
"""2018-04-29T09:41:00.000Z""",ded39e2a.cba8d,ENTER Bording Gate Area,Terminal 1,B17
"""2018-04-29T10:01:00.000Z""",ded39e2a.cba8d,BOARD Aircraft,Terminal 1,B17
"""2018-12-29T15:25:00.000Z""",cabaf8f3.6595d8,LEAVE Duty Free Area,Terminal 1,
"""2018-12-29T16:31:00.000Z""",cabaf8f3.6595d8,LEAVE Dining Area,Terminal 1,
"""2018-12-29T16:43:00.000Z""",cabaf8f3.6595d8,ENTER Bording Gate Area,Terminal 1,A19
"""2018-12-29T15:17:00.000Z""",cabaf8f3.6595d8,ENTER Duty Free Area,Terminal 1,
"""2018-12-29T15:41:00.000Z""",cabaf8f3.6595d8,ENTER Dining Area,Terminal 1,
"""2018-12-29T17:23:00.000Z""",cabaf8f3.6595d8,BOARD Aircraft,Terminal 1,A19
"""2018-08-08T05:26:00.000Z""",5b227345.dfaaec,LEAVE Dining Area,Terminal 1,
"""2018-08-08T05:38:00.000Z""",5b227345.dfaaec,ENTER Bording Gate Area,Terminal 1,B18
"""2018-08-08T04:36:00.000Z""",5b227345.dfaaec,ENTER Dining Area,Terminal 1,
"""2018-08-08T06:18:00.000Z""",5b227345.dfaaec,BOARD Aircraft,Terminal 1,B18
"""2018-09-26T12:07:00.000Z""",1dfeb71b.f54b99,ENTER Bording Gate Area,Terminal 1,B16
"""2018-09-26T12:27:00.000Z""",1dfeb71b.f54b99,BOARD Aircraft,Terminal 1,B16
"""2018-10-25T06:48:00.000Z""",cbdabff0.4873,Passport Control,Border-Control Booth 1,
"""2018-10-25T07:00:00.000Z""",cbdabff0.4873,ENTER Bording Gate Area,Terminal 1,B8
"""2018-10-25T07:40:00.000Z""",cbdabff0.4873,BOARD Aircraft,Terminal 1,B8
"""2018-10-05T13:27:00.000Z""",fed5fe27.f539b,LEAVE Duty Free Area,Terminal 1,
"""2018-10-05T14:33:00.000Z""",fed5fe27.f539b,LEAVE Dining Area,Terminal 1,
"""2018-10-05T14:45:00.000Z""",fed5fe27.f539b,ENTER Bording Gate Area,Terminal 1,B17
"""2018-10-05T13:19:00.000Z""",fed5fe27.f539b,ENTER Duty Free Area,Terminal 1,
"""2018-10-05T13:43:00.000Z""",fed5fe27.f539b,ENTER Dining Area,Terminal 1,
"""2018-10-05T15:25:00.000Z""",fed5fe27.f539b,BOARD Aircraft,Terminal 1,B17
"""2018-09-21T05:38:00.000Z""",b856d2ee.d7184,LEAVE Duty Free Area,Terminal 1,
"""2018-09-21T06:44:00.000Z""",b856d2ee.d7184,LEAVE Dining Area,Terminal 1,
"""2018-09-21T06:56:00.000Z""",b856d2ee.d7184,ENTER Bording Gate Area,Terminal 1,A1
"""2018-09-21T07:36:00.000Z""",b856d2ee.d7184,BOARD Aircraft,Terminal 1,A1
"""2018-09-21T05:54:00.000Z""",b856d2ee.d7184,ENTER Dining Area,Terminal 1,
"""2018-09-21T05:30:00.000Z""",b856d2ee.d7184,ENTER Duty Free Area,Terminal 1,
"""2018-11-23T14:47:00.000Z""",d50aaabc.193518,LEAVE Dining Area,Terminal 1,
"""2018-11-23T14:59:00.000Z""",d50aaabc.193518,ENTER Bording Gate Area,Terminal 1,B8
"""2018-11-23T13:57:00.000Z""",d50aaabc.193518,ENTER Dining Area,Terminal 1,
"""2018-11-23T15:39:00.000Z""",d50aaabc.193518,BOARD Aircraft,Terminal 1,B8
"""2018-06-05T13:16:00.000Z""",10ee1fed.4a4f5,ENTER Bording Gate Area,Terminal 1,B3
"""2018-06-05T13:56:00.000Z""",10ee1fed.4a4f5,BOARD Aircraft,Terminal 1,B3
"""2018-05-19T04:19:00.000Z""",f34dd64e.0538b8,LEAVE Duty Free Area,Terminal 1,
"""2018-05-19T04:31:00.000Z""",f34dd64e.0538b8,ENTER Bording Gate Area,Terminal 1,B15
"""2018-05-19T05:11:00.000Z""",f34dd64e.0538b8,BOARD Aircraft,Terminal 1,B15
