_time,msg_id,STEP,LOCATION,GATE

"""2018-04-07T03:06:00.000Z""",e85872b8.547fc,ENTER Departure Hall,Terminal 1,
"""2018-04-07T03:28:00.000Z""",e85872b8.547fc,LEAVE Check-In Area,Terminal 1,
"""2018-04-07T03:16:00.000Z""",e85872b8.547fc,ENTER Check-In Area,Terminal 1,
"""2018-11-12T15:18:00.000Z""",bea0323c.4cd3d,ENTER Departure Hall,Terminal 1,
"""2018-09-26T09:26:00.000Z""",1687247e.a0c2ac,ENTER Departure Hall,Terminal 1,
"""2018-02-19T07:05:00.000Z""",7ed7b94a.d47108,ENTER Departure Hall,Terminal 1,
"""2018-02-06T12:00:00.000Z""",1c412d6.09076d3,ENTER Departure Hall,Terminal 1,
"""2018-04-17T10:10:00.000Z""",76512f5.069edd,ENTER Departure Hall,Terminal 1,
"""2018-04-17T10:21:00.000Z""",76512f5.069edd,LEAVE Check-In Area,Terminal 1,
"""2018-04-17T10:15:00.000Z""",76512f5.069edd,ENTER Check-In Area,Terminal 1,
"""2018-04-29T09:07:00.000Z""",ded39e2a.cba8d,ENTER Departure Hall,Terminal 1,
"""2018-04-29T09:18:00.000Z""",ded39e2a.cba8d,LEAVE Check-In Area,Terminal 1,
"""2018-04-29T09:12:00.000Z""",ded39e2a.cba8d,ENTER Check-In Area,Terminal 1,
"""2018-04-13T03:08:00.000Z""",11132210.565bae,ENTER Departure Hall,Terminal 1,
"""2018-04-13T03:28:00.000Z""",11132210.565bae,LEAVING Departure Hall,Terminal 1,
"""2018-09-23T11:30:00.000Z""",572d6fb0.4e216,ENTER Departure Hall,Terminal 1,
"""2018-09-23T11:40:00.000Z""",572d6fb0.4e216,LEAVING Departure Hall,Terminal 1,
"""2018-12-29T14:41:00.000Z""",cabaf8f3.6595d8,ENTER Departure Hall,Terminal 1,
"""2018-08-08T03:50:00.000Z""",5b227345.dfaaec,ENTER Departure Hall,Terminal 1,
"""2018-09-26T11:46:00.000Z""",1dfeb71b.f54b99,ENTER Departure Hall,Terminal 1,
"""2018-10-25T05:52:00.000Z""",cbdabff0.4873,ENTER Departure Hall,Terminal 1,
"""2018-10-25T06:14:00.000Z""",cbdabff0.4873,LEAVE Check-In Area,Terminal 1,
"""2018-10-25T06:02:00.000Z""",cbdabff0.4873,ENTER Check-In Area,Terminal 1,
"""2018-10-05T12:21:00.000Z""",fed5fe27.f539b,ENTER Departure Hall,Terminal 1,
"""2018-10-05T12:43:00.000Z""",fed5fe27.f539b,LEAVE Check-In Area,Terminal 1,
"""2018-10-05T12:31:00.000Z""",fed5fe27.f539b,ENTER Check-In Area,Terminal 1,
"""2018-09-21T04:54:00.000Z""",b856d2ee.d7184,ENTER Departure Hall,Terminal 1,
"""2018-11-23T13:11:00.000Z""",d50aaabc.193518,ENTER Departure Hall,Terminal 1,
"""2018-06-05T12:12:00.000Z""",10ee1fed.4a4f5,ENTER Departure Hall,Terminal 1,
"""2018-06-05T12:34:00.000Z""",10ee1fed.4a4f5,LEAVE Check-In Area,Terminal 1,
"""2018-06-05T12:22:00.000Z""",10ee1fed.4a4f5,ENTER Check-In Area,Terminal 1,
"""2018-05-19T03:35:00.000Z""",f34dd64e.0538b8,ENTER Departure Hall,Terminal 1,
"""2018-03-15T13:55:00.000Z""",7fde8d6f.9536d4,ENTER Departure Hall,Terminal 1,
"""2018-12-02T10:38:00.000Z""",238da2d7.3d0b9e,ENTER Departure Hall,Terminal 1,
"""2018-12-02T10:49:00.000Z""",238da2d7.3d0b9e,LEAVE Check-In Area,Terminal 1,
"""2018-12-02T10:43:00.000Z""",238da2d7.3d0b9e,ENTER Check-In Area,Terminal 1,
"""2018-10-12T08:18:00.000Z""",341772e8.b9c34e,ENTER Departure Hall,Terminal 1,
"""2018-10-12T08:48:00.000Z""",341772e8.b9c34e,LEAVING Departure Hall,Terminal 1,
"""2018-03-04T16:21:00.000Z""",387e9977.b01146,ENTER Departure Hall,Terminal 1,
"""2018-03-04T16:45:00.000Z""",387e9977.b01146,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-03-04T16:36:00.000Z""",387e9977.b01146,ENTER Baggage-Drop Area,Terminal 1,
"""2018-12-04T09:30:00.000Z""",a8ba94bd.13ea28,ENTER Departure Hall,Terminal 1,
"""2018-12-04T09:54:00.000Z""",a8ba94bd.13ea28,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-12-04T09:45:00.000Z""",a8ba94bd.13ea28,ENTER Baggage-Drop Area,Terminal 1,
"""2018-06-05T07:42:00.000Z""",d494583a.d23aa8,ENTER Departure Hall,Terminal 1,
"""2018-06-05T08:06:00.000Z""",d494583a.d23aa8,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-06-05T07:57:00.000Z""",d494583a.d23aa8,ENTER Baggage-Drop Area,Terminal 1,
"""2018-08-08T16:18:00.000Z""",55517e75.86c5e,ENTER Departure Hall,Terminal 1,
"""2018-09-07T15:30:00.000Z""",54eb81a7.b363a,ENTER Departure Hall,Terminal 1,
"""2018-05-20T07:37:00.000Z""",2772ae30.c9e712,ENTER Departure Hall,Terminal 1,
"""2018-05-20T08:01:00.000Z""",2772ae30.c9e712,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-05-20T07:52:00.000Z""",2772ae30.c9e712,ENTER Baggage-Drop Area,Terminal 1,
"""2018-05-22T07:34:00.000Z""",48cbf0f3.a0955,ENTER Departure Hall,Terminal 1,
"""2018-06-06T13:11:00.000Z""",3ab5bd94.1a6d52,ENTER Departure Hall,Terminal 1,
"""2018-10-13T06:28:00.000Z""",8f89ccbf.25edb,ENTER Departure Hall,Terminal 1,
