_time,id,ACTION,LOCATION,GATE

"""2018-04-07T03:58:00.000Z""",e85872b8.547fc,LEAVE Security Check,SEC-POS-2,
"""2018-04-07T03:54:00.000Z""",e85872b8.547fc,ENTER Security Check,SEC-POS-2,
"""2018-04-07T03:38:00.000Z""",e85872b8.547fc,ENTER Security Lane,SEC-LANE-5,
"""2018-11-12T15:48:00.000Z""",bea0323c.4cd3d,LEAVE Security Check,SEC-POS-2,
"""2018-11-12T15:44:00.000Z""",bea0323c.4cd3d,ENTER Security Check,SEC-POS-2,
"""2018-11-12T15:28:00.000Z""",bea0323c.4cd3d,ENTER Security Lane,SEC-LANE-5,
"""2018-09-26T09:41:00.000Z""",1687247e.a0c2ac,LEAVE Security Check,SEC-POS-2,
"""2018-09-26T09:39:00.000Z""",1687247e.a0c2ac,ENTER Security Check,SEC-POS-2,
"""2018-09-26T09:31:00.000Z""",1687247e.a0c2ac,ENTER Security Lane,SEC-LANE-5,
"""2018-02-19T07:50:00.000Z""",7ed7b94a.d47108,LEAVE Security Check,SEC-POS-2,
"""2018-02-19T07:44:00.000Z""",7ed7b94a.d47108,ENTER Security Check,SEC-POS-2,
"""2018-02-19T07:20:00.000Z""",7ed7b94a.d47108,ENTER Security Lane,SEC-LANE-5,
"""2018-02-06T12:15:00.000Z""",1c412d6.09076d3,LEAVE Security Check,SEC-POS-2,
"""2018-02-06T12:13:00.000Z""",1c412d6.09076d3,ENTER Security Check,SEC-POS-2,
"""2018-02-06T12:05:00.000Z""",1c412d6.09076d3,ENTER Security Lane,SEC-LANE-5,
"""2018-04-17T10:36:00.000Z""",76512f5.069edd,LEAVE Security Check,SEC-POS-2,
"""2018-04-17T10:34:00.000Z""",76512f5.069edd,ENTER Security Check,SEC-POS-2,
"""2018-04-17T10:26:00.000Z""",76512f5.069edd,ENTER Security Lane,SEC-LANE-5,
"""2018-04-29T09:33:00.000Z""",ded39e2a.cba8d,LEAVE Security Check,SEC-POS-2,
"""2018-04-29T09:31:00.000Z""",ded39e2a.cba8d,ENTER Security Check,SEC-POS-2,
"""2018-04-29T09:23:00.000Z""",ded39e2a.cba8d,ENTER Security Lane,SEC-LANE-5,
"""2018-12-29T15:11:00.000Z""",cabaf8f3.6595d8,LEAVE Security Check,SEC-POS-2,
"""2018-12-29T15:07:00.000Z""",cabaf8f3.6595d8,ENTER Security Check,SEC-POS-2,
"""2018-12-29T14:51:00.000Z""",cabaf8f3.6595d8,ENTER Security Lane,SEC-LANE-5,
"""2018-08-08T04:20:00.000Z""",5b227345.dfaaec,LEAVE Security Check,SEC-POS-2,
"""2018-08-08T04:16:00.000Z""",5b227345.dfaaec,ENTER Security Check,SEC-POS-2,
"""2018-08-08T04:00:00.000Z""",5b227345.dfaaec,ENTER Security Lane,SEC-LANE-5,
"""2018-09-26T12:01:00.000Z""",1dfeb71b.f54b99,LEAVE Security Check,SEC-POS-2,
"""2018-09-26T11:59:00.000Z""",1dfeb71b.f54b99,ENTER Security Check,SEC-POS-2,
"""2018-09-26T11:51:00.000Z""",1dfeb71b.f54b99,ENTER Security Lane,SEC-LANE-5,
"""2018-10-25T06:44:00.000Z""",cbdabff0.4873,LEAVE Security Check,SEC-POS-2,
"""2018-10-25T06:40:00.000Z""",cbdabff0.4873,ENTER Security Check,SEC-POS-2,
"""2018-10-25T06:24:00.000Z""",cbdabff0.4873,ENTER Security Lane,SEC-LANE-5,
"""2018-10-05T13:13:00.000Z""",fed5fe27.f539b,LEAVE Security Check,SEC-POS-2,
"""2018-10-05T13:09:00.000Z""",fed5fe27.f539b,ENTER Security Check,SEC-POS-2,
"""2018-10-05T12:53:00.000Z""",fed5fe27.f539b,ENTER Security Lane,SEC-LANE-5,
"""2018-09-21T05:24:00.000Z""",b856d2ee.d7184,LEAVE Security Check,SEC-POS-2,
"""2018-09-21T05:20:00.000Z""",b856d2ee.d7184,ENTER Security Check,SEC-POS-2,
"""2018-09-21T05:04:00.000Z""",b856d2ee.d7184,ENTER Security Lane,SEC-LANE-5,
"""2018-11-23T13:41:00.000Z""",d50aaabc.193518,LEAVE Security Check,SEC-POS-2,
"""2018-11-23T13:37:00.000Z""",d50aaabc.193518,ENTER Security Check,SEC-POS-2,
