_time,pax_id,STEP,LOCATION,GATE

"""2018-04-07T03:06:00.000Z""",e85872b8.547fc,ENTER Departure Hall,Terminal 1,
"""2018-04-07T03:28:00.000Z""",e85872b8.547fc,LEAVE Check-In Area,Terminal 1,
"""2018-04-07T03:58:00.000Z""",e85872b8.547fc,LEAVE Security Check,SEC-POS-2,
"""2018-04-07T04:02:00.000Z""",e85872b8.547fc,Passport Control,Border-Control Booth 1,
"""2018-04-07T04:16:00.000Z""",e85872b8.547fc,LEAVE Duty Free Area,Terminal 1,
"""2018-04-07T05:22:00.000Z""",e85872b8.547fc,LEAVE Dining Area,Terminal 1,
"""2018-04-07T05:34:00.000Z""",e85872b8.547fc,ENTER Bording Gate Area,Terminal 1,B12
"""2018-04-07T03:16:00.000Z""",e85872b8.547fc,ENTER Check-In Area,Terminal 1,
"""2018-04-07T03:54:00.000Z""",e85872b8.547fc,ENTER Security Check,SEC-POS-2,
"""2018-04-07T04:08:00.000Z""",e85872b8.547fc,ENTER Duty Free Area,Terminal 1,
"""2018-04-07T04:32:00.000Z""",e85872b8.547fc,ENTER Dining Area,Terminal 1,
"""2018-04-07T06:14:00.000Z""",e85872b8.547fc,BOARD Aircraft,Terminal 1,B12
"""2018-04-07T03:38:00.000Z""",e85872b8.547fc,ENTER Security Lane,SEC-LANE-5,
"""2018-11-12T15:18:00.000Z""",bea0323c.4cd3d,ENTER Departure Hall,Terminal 1,
"""2018-11-12T15:48:00.000Z""",bea0323c.4cd3d,LEAVE Security Check,SEC-POS-2,
"""2018-11-12T15:52:00.000Z""",bea0323c.4cd3d,Passport Control,Border-Control Booth 1,
"""2018-11-12T17:06:00.000Z""",bea0323c.4cd3d,LEAVE Duty Free Area,Terminal 1,
"""2018-11-12T18:12:00.000Z""",bea0323c.4cd3d,LEAVE Dining Area,Terminal 1,
"""2018-11-12T18:24:00.000Z""",bea0323c.4cd3d,ENTER Bording Gate Area,Terminal 1,A13
"""2018-11-12T15:44:00.000Z""",bea0323c.4cd3d,ENTER Security Check,SEC-POS-2,
"""2018-11-12T16:52:00.000Z""",bea0323c.4cd3d,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-11-12T16:58:00.000Z""",bea0323c.4cd3d,ENTER Duty Free Area,Terminal 1,
"""2018-11-12T17:22:00.000Z""",bea0323c.4cd3d,ENTER Dining Area,Terminal 1,
"""2018-11-12T19:04:00.000Z""",bea0323c.4cd3d,BOARD Aircraft,Terminal 1,A13
"""2018-11-12T15:28:00.000Z""",bea0323c.4cd3d,ENTER Security Lane,SEC-LANE-5,
"""2018-11-12T16:02:00.000Z""",bea0323c.4cd3d,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-09-26T09:26:00.000Z""",1687247e.a0c2ac,ENTER Departure Hall,Terminal 1,
"""2018-09-26T09:41:00.000Z""",1687247e.a0c2ac,LEAVE Security Check,SEC-POS-2,
"""2018-09-26T10:14:00.000Z""",1687247e.a0c2ac,LEAVE Dining Area,Terminal 1,
"""2018-09-26T10:20:00.000Z""",1687247e.a0c2ac,ENTER Bording Gate Area,Terminal 1,A3
"""2018-09-26T09:39:00.000Z""",1687247e.a0c2ac,ENTER Security Check,SEC-POS-2,
"""2018-09-26T09:49:00.000Z""",1687247e.a0c2ac,ENTER Dining Area,Terminal 1,
"""2018-09-26T10:40:00.000Z""",1687247e.a0c2ac,BOARD Aircraft,Terminal 1,A3
"""2018-09-26T09:31:00.000Z""",1687247e.a0c2ac,ENTER Security Lane,SEC-LANE-5,
"""2018-02-19T07:05:00.000Z""",7ed7b94a.d47108,ENTER Departure Hall,Terminal 1,
"""2018-02-19T07:50:00.000Z""",7ed7b94a.d47108,LEAVE Security Check,SEC-POS-2,
"""2018-02-19T07:56:00.000Z""",7ed7b94a.d47108,Passport Control,Border-Control Booth 1,
"""2018-02-19T08:14:00.000Z""",7ed7b94a.d47108,ENTER Bording Gate Area,Terminal 1,B14
"""2018-02-19T07:44:00.000Z""",7ed7b94a.d47108,ENTER Security Check,SEC-POS-2,
"""2018-02-19T09:14:00.000Z""",7ed7b94a.d47108,BOARD Aircraft,Terminal 1,B14
"""2018-02-19T07:20:00.000Z""",7ed7b94a.d47108,ENTER Security Lane,SEC-LANE-5,
"""2018-02-06T12:00:00.000Z""",1c412d6.09076d3,ENTER Departure Hall,Terminal 1,
"""2018-02-06T12:15:00.000Z""",1c412d6.09076d3,LEAVE Security Check,SEC-POS-2,
"""2018-02-06T12:48:00.000Z""",1c412d6.09076d3,LEAVE Dining Area,Terminal 1,
"""2018-02-06T12:13:00.000Z""",1c412d6.09076d3,ENTER Security Check,SEC-POS-2,
"""2018-02-06T12:54:00.000Z""",1c412d6.09076d3,ENTER Bording Gate Area,Terminal 1,B15
"""2018-02-06T12:23:00.000Z""",1c412d6.09076d3,ENTER Dining Area,Terminal 1,
"""2018-02-06T12:05:00.000Z""",1c412d6.09076d3,ENTER Security Lane,SEC-LANE-5,
"""2018-02-06T13:14:00.000Z""",1c412d6.09076d3,BOARD Aircraft,Terminal 1,B15
"""2018-04-17T10:10:00.000Z""",76512f5.069edd,ENTER Departure Hall,Terminal 1,
"""2018-04-17T10:21:00.000Z""",76512f5.069edd,LEAVE Check-In Area,Terminal 1,
"""2018-04-17T10:36:00.000Z""",76512f5.069edd,LEAVE Security Check,SEC-POS-2,
"""2018-04-17T11:06:00.000Z""",76512f5.069edd,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-04-17T11:13:00.000Z""",76512f5.069edd,LEAVE Duty Free Area,Terminal 1,
